Q12P2.B. Em quem o(a) sr(a) votou para presidente no segundo turno?,localidade,região,D2_sexo,D1A_faixa_etaria,D3_escolaridade,D9B_faixa_renda,D12a_cor_raca,D.07_situacao_profissional,"P3.3. De maneira geral, como o(a) sr(a) avalia a atuação: Da Polícia Federal","P3.4. De maneira geral, como o(a) sr(a) avalia a atuação: Do Governo Federal","P3.5. De maneira geral, como o(a) sr(a) avalia a atuação: Da Justiça, Poder Judiciário","P3.7. De maneira geral, como o(a) sr(a) avalia a atuação: Dos Partidos Políticos","P3.8. De maneira geral, como o(a) sr(a) avalia a atuação: Do Congresso Nacional (Senado e Câmara dos Deputados)","P3.9. De maneira geral, como o(a) sr(a) avalia a atuação: Dos Militares, Forças Armadas","P3.10. De maneira geral, como o(a) sr(a) avalia a atuação: Do Ministério Público","P3.11. De maneira geral, como o(a) sr(a) avalia a atuação: Da Rede Globo","P3.12. De maneira geral, como o(a) sr(a) avalia a atuação: Das outras emissoras de televisão, como a Record, SBT, etc.",P6.1. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Controle da criminalidade,P6.2. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso a tratamento de saúde,P6.3. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Diminuição das desigualdades sociais,P6.4. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Qualidade do ensino público,P6.5. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso ao ensino profissionalizante,P6.6. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Controle da violência policial,P6.7. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso ao Ensino Médio,P6.8. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso ao ensino superior,"P6.9. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso à cultura (museus, cinemas, teatros, shows, etc)",P6.10. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Diminuição do desemprego,P6.11. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso do cidadão comum à Justiça,"P6.12. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso a políticas de direitos de mulheres e de minorias como: Negros, indígenas, homossexuais, LGBTs, entre outros.",P6.13. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Respeito às leis,P6.14. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso a remédios,P6.15. Vou citar algumas políticas e gostaria que o(a) sr(a) dizesse o quanto está satisfeito com cada uma delas: Acesso a tratamento médico especializado,P16.1. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Policia Federal,P16.2. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Ministério Público,P16.3. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Judiciário,P16.4. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Defensoria Pública,P16.5. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Tribunais de Contas da União (TCU),P16.6. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Controladoria Geral da União (CGU),P16.7. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Ouvidoria Geral da União,P16.8. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: CPIs,P16.9. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Tribunal Superior Eleitoral (TSE),P16.10. Com relação à corrupção no Brasil gostaria que o(a) sr(a) desse uma nota de 1 a 10 sobre a eficiência das instituições. Que nota o(a) sr(a) dá para: Conselho Nacional de Justiça,"P17.5. Em relação às afirmações lidas, gostaria que o(a) sr(a) dissesse se concorda ou discorda de cada uma delas: A prisão em segunda instância combate a corrupção","P17.6. Em relação às afirmações lidas, gostaria que o(a) sr(a) dissesse se concorda ou discorda de cada uma delas: A delação premiada ajuda os corruptos","P17.7. Em relação às afirmações lidas, gostaria que o(a) sr(a) dissesse se concorda ou discorda de cada uma delas: A condução coercitiva fere direitos","P19. A operação Lava Jato é uma operação para combater a corrupção na política. Sobre a operação Lava Jato, o(a) sr(a) acredita que:","P20. Na sua opinião, a Operação Lava-Jato combate ou não combate a corrução?",Q1. Quanto o(a) sr(a) se interessa por política? O(a) sr(a) diria que é:,"Q2. E com qual intensidade o(a) sr(a) acompanha política na TV, no rádio, nos jornais ou na internet: Muita intensidade, alguma intensidade, pouca intensidade, ou não acompanha política?",Q3. O quanto o(a) sr(a) concorda com a seguinte afirmação: “Você entende sobre os problemas políticos mais importantes do país”.,Q10A. Existe algum partido político que representa a maneira como o(a) sr(a) pensa? (Espontânea),Q22C. Qual partido o(a) sr(a) mais se sente próximo? (Espontânea),D5B. Agora gostaria de saber se o(a) sr(a) é filiado a algum partido político?,P25. (CARTELA 6) Qual destes meios o(a) sr(a) mais utiliza para se informar sobre política?,P26. (CARTELA 7) Qual destas redes sociais o (a) sr(a) mais utiliza para se informar sobre política?,"P27. [CARTELA 8] Aqui estão algumas ações que as pessoas consideram importantes para decidir o voto para presidente. Nesta eleição, qual delas foi a mais importante para o(a) sr(a) decidir o seu voto para presidente?"
Jair Bolsonaro (PSL),Urbano,Norte,Feminino,35 a 44 anos,Fundamental completo,"Mais de 5 até 10 salários mínimos (R$ 4.770,00 até R$ 9.540,00)",Não branco,Autônomo / conta própria,Ótima,Péssima,Péssima,Ruim,Péssima,Ótima,Péssima,Ruim,Ótima,0,3,0,0,2,0,1,1,1,0,0,3,2,2,0,10,2,10,10,2,2,2,2,10,10,Concorda muito,Concorda muito,Discorda muito, Ela investiga todos os partidos igualmente,Combate a corrupção,Nada interessado(a),Pouca intensidade,Concorda em parte,Não,Nenhum,Não,Nenhum destes,Outra,Conversas com amigos e pessoas da família
Jair Bolsonaro (PSL),Urbano,Norte,Masculino,18 a 24 anos,Fundamental completo,"Mais de 10 até 15 salários mínimos (R$ 9.540,00 até R$ 14.310,00)",Não branco,Desempregado,Boa,Boa,Ótima,Péssima,Ruim,Boa,Boa,Péssima,Boa,0,0,0,0,0,0,3,3,5,10,0,0,0,0,0,10,1,1,1,10,10,10,1,10,10,Concorda um pouco,Concorda muito,Concorda um pouco, Ela investiga todos os partidos igualmente,Combate a corrupção,Nada interessado(a),Pouca intensidade,Nem concorda nem discorda,Não,PSL,Não,Jornais e Revistas,Facebook,Propaganda política na televisão
Jair Bolsonaro (PSL),Urbano,Norte,Feminino,18 a 24 anos,Médio incompleto,"Mais de 20 salários mínimos (R$ 19.080,00)",Não branco,Estudante,Boa,Péssima,Péssima,Boa,Ruim,Boa,Péssima,Péssima,Boa,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,7,3,4,2,3,5,6,2,4,5,Concorda muito,Concorda um pouco,Discorda um pouco, Ela investiga todos os partidos igualmente,Combate a corrupção,Nada interessado(a),Não acompanho,Nem concorda nem discorda,Não,Nenhum,Não,Blogs da internet,Facebook,Conversas com amigos e pessoas da família
Jair Bolsonaro (PSL),Urbano,Norte,Masculino,35 a 44 anos,Fundamental incompleto,"Mais de 1 até 2 salários mínimos (R$ 954,00 até R$ 1.908,00)",Não branco,Autônomo / conta própria,Boa,Péssima,Péssima,Péssima,Péssima,Boa,Péssima,Péssima,Péssima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,1,1,1,Concorda muito,Concorda muito,Discorda muito, Ela investiga todos os partidos igualmente,Combate a corrupção,Nada interessado(a),Pouca intensidade,Concorda em parte,Sim,PSL,Não,Jornais e Revistas,YouTube,Conversas com amigos e pessoas da família
Jair Bolsonaro (PSL),Urbano,Norte,Masculino,55 a 64 anos,Analfabeto/Nunca frequentou a escola,"Até 1 salário mínimo (R$ 954,00)",Não sabe/Não respondeu,Desempregado,Boa,Péssima,Boa,Ruim,Péssima,Boa,Boa,Boa,Boa,0,0,0,0,0,10,10,10,0,0,98,99,10,0,0,10,10,10,10,10,10,10,10,10,10,"Nem concorda, nem discorda",Concorda muito,"Nem concorda, nem discorda", Ela investiga todos os partidos igualmente,Combate a corrupção,Muito interessado(a),Não acompanho,Concorda totalmente,Sim,PSL,Não,"Redes sociais, Facebook, twitter, whatsapp",YouTube,Conversas com amigos e pessoas da família
Jair Bolsonaro (PSL),Urbano,Norte,Feminino,45 a 54 anos,Analfabeto/Nunca frequentou a escola,"Até 1 salário mínimo (R$ 954,00)",Não branco,Empregado,Ótima,Péssima,Péssima,Péssima,Péssima,Ótima,Péssima,Ótima,Ótima,0,0,5,10,10,0,10,10,5,0,0,0,10,5,10,10,5,5,10,5,5,10,10,5,10,Concorda muito,Concorda muito,Concorda um pouco, Ela investiga todos os partidos igualmente,Combate a corrupção,Nada interessado(a),Pouca intensidade,Concorda em parte,Não,Não sabe/Não respondeu,Não,Noticiário da TV,Não uso redes sociais,Debates entre candidatos na televisão
Jair Bolsonaro (PSL),Urbano,Norte,Feminino,18 a 24 anos,Fundamental incompleto,Não sabe/Não respondeu,Não branco,Não sabe/Não respondeu,Ótima,Péssima,Péssima,Boa,Boa,Ótima,Regular negativo,Boa,Ótima,9,5,1,7,2,1,5,2,0,0,4,9,9,6,2,5,2,3,3,1,3,2,1,8,1,Não sabe/Não respondeu,Não sabe/Não respondeu,Não sabe/Não respondeu, Ela investiga todos os partidos igualmente,Combate a corrupção,Nada interessado(a),Não acompanho,Discorda em parte,Não,Nenhum,Não,"Redes sociais, Facebook, twitter, whatsapp",WhatsApp,Não sabe/Não respondeu
Jair Bolsonaro (PSL),Urbano,Norte,Masculino,25 a 34 anos,Superior incompleto ou especialização (técnico após ensino médio),"Mais de  2 até 5 salários mínimos (R$ 1.908,00 até R$ 4.770,00)",Não branco,Autônomo / conta própria,Boa,Péssima,Péssima,Péssima,Péssima,Ótima,Péssima,Péssima,Ótima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,1,1,1,1,1,Discorda muito,Concorda muito,Concorda um pouco, Ela investiga todos os partidos igualmente,Combate a corrupção,Pouco interessado(a),Pouca intensidade,Concorda em parte,Sim,Missing,Não,Busca no Google,YouTube,Notícias sobre os candidatos nas redes sociais
Jair Bolsonaro (PSL),Urbano,Norte,Feminino,25 a 34 anos,Superior incompleto ou especialização (técnico após ensino médio),"Mais de  2 até 5 salários mínimos (R$ 1.908,00 até R$ 4.770,00)",Não branco,Autônomo / conta própria,Ótima,Boa,Ótima,Péssima,Péssima,Boa,Ruim,Péssima,Ruim,1,0,4,5,2,2,3,3,0,4,5,2,0,0,0,5,2,2,5,3,5,2,1,2,3,Concorda um pouco,Concorda muito,Concorda um pouco, Ela investiga todos os partidos igualmente,Não combate a corrupção,Nada interessado(a),Não acompanho,Discorda em parte,Não,Nenhum,Não,Noticiário da TV,Facebook,Debates entre candidatos na televisão
Jair Bolsonaro (PSL),Urbano,Norte,Masculino,45 a 54 anos,Fundamental incompleto,"Até 1 salário mínimo (R$ 954,00)",Não branco,Desempregado,Boa,Ruim,Regular negativo,Péssima,Péssima,Regular positivo,Boa,Péssima,Boa,0,4,1,2,2,0,7,5,4,0,3,5,4,2,1,9,5,9,5,5,7,5,1,5,5,Discorda muito,Concorda muito,Discorda muito, Ela investiga todos os partidos igualmente,Combate a corrupção,Pouco interessado(a),Pouca intensidade,Concorda em parte,Não,PT,Não,Jornais e Revistas,WhatsApp,Nenhuma dessas
